prompt,completion
the first fish,"

When I pulled that great fish up out of Lake Skinner’s  
      mirrored-double surface, I wanted to release  
the tugging beast immediately. Disaster on the rod,  
      it seemed he might yank the whole aluminum skiff  
down toward the bottom of his breathless world.  
      The old tree of a man yelled to hang on and would  
not help me as I reeled and reeled finally seeing  
      the black carp come up to meet me, black eye to black eye.  
In the white cooler it looked so impossible.  
      Is this where I am supposed to apologize? Not  
only to the fish, but to the whole lake, land, not only for me  
      but for the generations of plunder and vanish.  
I remember his terrible mouth opening as if to swallow  
      the barbarous girl he’d lose his life to. That gold-ringed  
eye did not pardon me, no absolution, no reprieve.  
      I wanted to catch something; it wanted to live.  
We never ate the bottom-feeder, buried by the rose bush  
      where my ancestors swore the roses bloomed  
twice as big that year, the year I killed a thing because  
      I was told to, the year I met my twin and buried  
him without weeping so I could be called brave.  
"
lovecution,"
Most of the cups in the house are missing a piece.  
Not about handles, about completion.  
Water pooling in a stray’s footprint: bellybutton heat.  
Follow my proof. Faith is the only way to praxis.  
Need more hours in the day.  
Need more stretch of twilight.  
Need more oil for the stop-me-creaking.  
Need to know where the fronds land at the end of a dandelion wish.  
Yesterday I saw a pair of eyes larger than I’d ever seen.  
Today I inherit a million blankets.  
Hold me for as long as you are able: Until even those handholds go droop.  
Until even our front door receives a root canal.  
Until even the first song we danced to becomes the broth.  
Not a chain of superstition, a bouquet.  
"
weighing the difference,"

*with a line from Sappho, translated by William Logan*

<br>
Anna interprets my dreams as the fear of botching  
a chance at heaven. I would like to believe in  
the plurals of things, the hour shored up against a bridge,  
its bright underbelly furring against my cheekbones.  
Everything here is all shutter and no latch.  
We’re a bunch of wackos who cry before our birthdays  
so the morning startles in its fullness. Sappho, from the Greek,  
could haul up a bucket of spring water  
from that reeking sewer of her life.  
Seeing that my life is not so much sewer as the lake  
we swim in, with its fair share of algae and silt blooms,  
the water should be clean enough, if not to drink,  
then to wash away the day’s worth of dirt.  
"
a hawthorn rooted close to other guests,"
This is not

 nature—the way

 pain interrupts

 its answers, ashen

  

 awl-tipped

 limbs waving

 and brushing them-

 selves, chill crushes

  

 carried across

 the ravine; and

 a wing of 

 their broken flutter,

  

 that desiccated

 battle-din, is

 hooked by a frosty

 steam, and it balds.

  

 Though the awls are

 hollow-point—the un-

 graspable locusts

 having left

  

 behind veins of shadowy

 larvae inside them.

 And the hollowed-out

 scent of cold rain. And

  

 suddenly—a corridor

 of ropy light

 twines round

 the stems and

  

 fills those absent

 bodies with steamy

 voices they cannot

 share, cannot

  

 reveal, retaining

 a skin that shields

 unerringly—And so

 the sudden remains

  

 only as an answer

 the stilled silk

 flowers

 prod-up to reach

  

 on this dog’s grave

 (what symmetry

 can gather itself

 entire, in the

  

 open air?)—a calm

 tended to by

 the wrinkled spines of

 shucked chestnuts.

  

 I would invoke

 the radiance of the mirror

 uncovering itself

 inside the glistering

  

 jetsam-spread of leaves, or

 the receding waves of

 these flowers, fathering

 the dusk into them.

"
the numbers 1 to 10 each number on its own page,"
The square opens like a screen,

 touching it,

 how it’s a hand and a pattern clears. 

  

 The morning is some hands in front of

 finishing at the time of light

  

 this is because a pattern makes it not happen.

 There is no light against the panes they abstract

 and stay, you touched

  

 your knee as if you are saying

 anything else.  The monument

 where a boy set himself

  

 on fire and put an image

 in his throat,

  

 this is true because you are doing all of it, like his hand

 clearing or an icon which is fissive.

"
epiousios,"
Introduce me first as a victory  
of grain measurement. ‘Here is a man made  
well, wheat flour packed without overflow.’  
Introduce me next as a miracle.  
‘At a dry desert wedding short of wine  
this man here is like a large stone jar filled  
to its stable brim with pure water turned  
to wine.’ Please introduce me thus, then turn  
and run, for like a young boxer fucking  
the judge before the big fight, like the judge  
with a gun but no pants, like a trespass  
or a good vigilante, I let law  
spill. Yes, I am force and in full force, both  
the fullness and the panic of measure.

"
bde,"

God gave me a man  
Who I, in turn, bodied.  
Had he lived, I would  
Take myself more seriously.  
Come what may I will  
Get myself together,  
I will whip myself into  
The shape of a man  
Who has put away  
Childish things. I will  
Take a woman as my toy  
And pretend, in doing so,  
I’m highly favored.  
"
south pole station,"
        “There is no darkness  
behind the sun” you say, you who have not  
seen the sun in months, it being winter.  
You thought about it once and couldn’t  
stop, calculating volumes, investigating  
temperatures of surface and depth.  
You don’t remember depth.  You don’t remember  
color, you spent days searching for a lamp  
the color of the sun.  
The sun is not a color but a disk  
whose wavelength resonates your skin.

Plato mistook the good for the sun,  
that day in Amsterdam the clouds parted,  
you leapt up from the war memorial and  
the world had been given back  
finally.  You heard of people lost their eyes this way.  
  


"
i cant get started,"
I made a playlist of songs I’d heard in Heaven \
mostly to procrastinate the letters of rec due soon \
the notes to thank Saeed and Deborah an intro \
to a talk the announcement of the talk and a talk \
itself though not the talk I’m talking about a \
different talk. Homeless is the heart, I’d call it. \
The talk I’ve yet to write and yet to talk. \
Uncertain is the mind. I remember a time I had \
no desk to clutter, no meals and no regular address. \
Just the crushed can car I slept in. A town so small \
a wind had nothing to scatter when it blew through. \
I parked myself on the farthest side of the levee, \
away from homes and watched the river riffle \
slowly over cowbelly silt. Listened for scaups \
or cops on patrol. The music of Heaven so far \
away. The sounds of earth are hard to find and \
harder still to catalog. A hard field amplifies each \
hornet. A woman I knew not well but well enough \
she considered me a last resort, someone to escort \
her to a movie down in Sac. I had no cents even. \
Scraped the last of it out of the glovebox to buy \
cigarettes. So I declined. And every whisper being \
overheard, in turn another woman asked how come \
I’d turned the first one down. Then gave me a ten. \
Oh, but I can’t, I said, I can’t pay this back, I have \
no job and don’t know when…but don’t you under \
stand, she said, when someone just wants to give. \
She gave me such a look. And a stick of gum. \
This is the thank you note I haven’t written. \
This is the talk I have yet to give some future \
me, a scattered kid. I’ll name it after a song by Diz.
"
ascent,"
Down by the creek

           named for its sweat-

 scented roots, my sister taught me

           to relieve the ache I imagined

 God gave only the wicked. Here

           is where to place

 your touch, your breath, your troubling

           assent. Delight

 relived--the anticipated end

           of our exploit--came with gloaming, 

 the appearance of lives

           you don't see lived in

 full sun. The swallow

           you cannot name. (What I've learned

 to call pleasure is more

           akin to belief.) My sister slouched

 over when the soughing

           ceased, said, no one has to know

 this place exists.

"
likeness,"
  
           Talking feels canceled when I stand alone  
in the forest. Mother, your thinness is a letter  
to my worry. I watch you work in the garden.  
I confuse solitude with loneliness.  
My hair is also grey kisses at sundown.  
A doe strafes the ridgeline, until lost  
in the thicket, only snapping brush.

   
           God undressed in an arbor of madness;  
I am his mannequin’s shadow.  
My eyes empty the last clip of daylight  
into the forest, and quietly  
the rain on leaves leaves leaves clean.

   
           A son’s no thing but a map to likeness.  
You have tried to make me yours—  
I think of the bones you broke to bring me here.  
I promise, I am trying to love the world.  
Say it is not impossible. Place  
your flowers on the sill inside me.

"
fata morgana,"
 

 one morning you will sense me 

 now, slipping like air

         through your incisors and lower

  

 lip. you might marvel at

 the intrusion soft 

        sound makes, a separation of

  

 flesh and bone for faint

 diffusion. you must find it

        easier to distinguish ocean

  

 from sky when there is mist

 between, the sort that blunts

        the precipice of a stark horizon,

  

 cuts across the seam where air 

 meets water perpendicular,

        curdling light into expanses

  

 of moist blossoms. when day breaks

 you may follow the gulls with

        your vision and find me

  

 adrift. then I shall leave you

 cleft, the way a strait brings 

        a city down to its knees.

  

 then again I might stray,

 hovering forwards, just how a ship

        unmoored floats ashore

  

  

"
the concert,"
 

Not that we love order  
the skeleton but o –  
o if outside this room it  
carved up such fruits, such  
pulp between the beats –

  
And then the stretch of road  
we needed has been swallowed – still  
we turn, twisting our seatbelts at  
the neck, and point. The grey sky there  
is not the chaos we need to make  
*that* point and still the sun with  
uncanny execution acts  
its ancient orchestrations – “there are  
conductorless ensembles,” says  
the conductor, “that play so beautifully  
and yet I miss that hand and  
I wish–”  
          and do we need to wish?  
stamp speaking faces on a grid  
all blank arpeggiation, bright  
thoughtless precise  
display?  
              Then the sun  
too would have to speak  
clearly in a prologue to  
the grass *on cue you’ll die  
over and over* or else the grass  
did say the same  
at the same time or  
else a whistle-camera-pistol-  
-memo flown to all: *on cue you’ll live  
over and over and as well  
at your convenience die but that  
is not my area*

                                In the room the numbers  
                                attend their coming colors.  
                                The soft old man stands up.  
                                He holds a bass clarinet.  
                                He listens then he listens louder.

"
cold throw,"
I can come but still I cannot meditate.  
Before these months, when I saw a bathtub,  
I did not dare lie down inside of it,  
knowing I might begin to dream of physical  
cloud and epidermis, and come apart  
as completely as I had dreamed.  
As I had feared. So many sensations.  
But you know, I tried this last night,  
as I went through my meticulous list of  
trying, top to bottom. I lit the expensive  
candle on the windowsill naked in  
my bathroom and admired the stained  
marble, and thought of all the things  
I was afraid to forget, but could not  
know them, nor find reason, and when  
in the morning my mother came in  
exclaiming she smelled the candle,  
I said I did not. For this is how,  
whatever is apparent to you I do not see.  
While the white scented body of wax  
was slow waning there was no pleasant  
smell, or any smell at all, only  
the self in the throat, slowly diminishing.

"
grace and dignity self maintenance,"
 

 i am up to a rich

 work without ghosts—

 i absolutely cannot trust

 my follicles’ growth-in

  

 straight. i squint by

 the mirror, i grind

 my teeth, they clack wise at

 me, let me know.

  

 i am well versed in how

 water goes, whenever

 i may see a faucet. the sink

 cracks light and says *it’s*

 *the mirror.* the sink and

  

 i, really, are far nobler—we know

 only the thrill of making

 marks on the wall. lines,

 and the taking of them. the work of

 growing in—the sink

  

 laughs—focal lines dance

 in the creases, the all-over, i

 give it up. it warms me, and

 tastes sweet. fever, sweet—

  

 the light is harsh,

 linear. i have been standing

 here a long time. it is

 looking at myself grown

 down sharp, this light.

  

 it cuts narrow to me,

 bound to swell towards some

 eruption. my space to grow

 lines straight seems now

 a crack of the light. just.

  

 i believed i was arrogant. i cannot

 follow. i lay my eyes down

 the counter, flat.

"
the wit and wisdom of donald hall 1966,"
REPRINTED FROM 1966 ISSUE

  

 1. 

 A man who touches a cabbage is seldom sorry.

  

 2.

 The feeling is mutual.

  

 3. 

 The same goat has three blind eyes.

  

 4.

 Cecilia! You are wearing an American flag!

  

 5.

 Witches ride when brooms go empty.

  

 6.

 It is better to bend a strawberry.

  

 7.

 Never tie a left-handed horse to a wet rubberplant.

  

 8.

 You are stepping on my garterbelt.

  

  

"
sehkmets conceit,"
 

 —As if light were the remedy

  

 for the pitch thrall of fate, I would

  

 angle beams toward the desert,

  

 stream across dark chasms of space,

  

 reveal this enemy’s backbone,

  

 uncoil that helix… 

"
of nazareth,"
Land lies, not for use of self. Very slowly do

   
things vary. In some sense, rock breaks from  
rock to become other. In another sense, black

   
knowns are always moving to the unknown.  
Or skin. There are some places in this world

   
that are loved. And still other loves that are  
placed. There is this place and there is this love.

   
Here. Under the olive branch. Except for now,  
you have not yet pulled roadside in our descent.  
I passed the silence by eating dates, sucking slow

   
pits to spit each seed out lowered window and  
last pressing lone walnuts into defaced soft.  
This is not you pausing to pull self from

   
self to relieve. This is me in the car seeing  
you pool off and down. Dare me to speak  
of what lies, below. Of Mary coming

   
to the well, only to see her guards, as well  
as her angel. Each night, I remember every  
part of my body has been touched except

   
the inside. And I am inside. I am letting myself  
happen. As crows above turn quickening

   
berserk, taking flight over sky rising poppy  
petal. Now. You were there. Above. You

   
were there. Nazareth is waiting. Nazareth waits  
for no-one. I am still miles behind us, full

   
of wonder, at what palm each pit might become.

"
we got hired together,"

My best friend since second grade.  
Same diner, same schedules, same uniforms, same day.  

This friend, I used to boss her around (“You be the sick  
one now.  
Get on the ground and pretend you’re to vomit.”  
I’d draw  
on her face  
with Magic Marker while I held her by a pigtail  
while she begged me to stop. Which I didn’t  

until she had a face full stripes and stars and pox  
and names of boys she liked and boys she hated and  
the rides at the amusement park was afraid to go on.  
Rolling Thunder. Tower of Screams.  
A diner. Her  

single mother told her she needed  
to make some money and no one cared how she made it.  
My parents told me that if I ever planned  
to find out if I was any good at anything  
I’d better start trying  
to find out now. They  

had no idea what a list I had of things I knew I could do  
better than anyone else. These things had to do  
with stealing clothes—from  

anywhere: locker rooms, department stores, friends. And  
a few other things for which the word  
*entrepreneurial* had surely been invented, although  
I hadn’t heard it yet, and even if I’d known  
the word and told them what I could trade  
between classes  
in the staircase  
for cash from the middle hollowed-out book, they  
wouldn’t have been impressed.  
“Get a job,” they said.  

And, yes. Just  
as they’d known I would, I learned  
everything I’d ever need to know about the thing  
I was best at then. And  

so did my friend.  
She’d pass me with a tray in her hands and a French  
fry in her mouth. My  

friend, the weak sister in my fairytale, in her uniform. Which  
was mine as well. Something  
pink and short, which she  
turned it into the centerfold  
of a Playboy magazine  
without needing  
to take it off, with no need  
for nudity or pornography or four staples down its center, no  
glossy paper. She  

just walked over, wearing it, to some guy, and spilled coffee  
on him, and  
he laughed. She got a rag. She  
blotted him up all over before she brought him  
another cup of coffee and his burnt toast—and  

oh my God, her tips. At  
the end of every shift. She crammed the wad of soft bills  
in her purse along  
with the cloudy weight  
of all those quarters  
and heft the strap of it over her shoulder.  

I learned  
how cold the walk-in refrigerator, where  
the ice cream dreamed in the dark could be. No  
hurry. We  

could dream in there forever, those  
frozen tubs, and me. I learned  

how it felt to be  
solid, and then to thaw, and then  
to be consumed, and then—  

how hot it was in the kitchen. I  
could linger there, being  
splattered with those scalding micro-  
droplets of grease blown  
off the grill by the breeze  
of a short-order cook’s sneeze. Never  

once did I say, *Ouch.* But, as if I had, how  

many times an hour  
the kitchen staff would say to me, *Get  
the hell out of here  
if you can’t handle the kitchen.*  

I learned  
that if I stared  
out of the window  
of a diner at night, I  
could see straight through myself, and I  
was a shadow  
waiting to happen.  
On the other side of me  
there was a salad bar. The lettuce  

had already browned around the edges. I  
was the one who had to toss  
those pale leaves around until  
the browned ones were on the bottom. And  

it was my job to refill the chilled ceramic thing  
that held the shredded cheese. *She*  
wasn’t going to do it.  

Or in the window, looking  
at myself in it, I could see not only  
the salad bar behind me, but  

the salad bar inside of me, which  
stretched into the distance for a million miles  
or years, with  
its bowls of coleslaw  
and it plastic squeezer-bottles  
half-full of orange salad dressing. It  

was lined up in the past and in the future, like  
years of insomnia—my  
ancestors’ insomnia, and the insomnia of my children’s  
children’s children, all  
of us waiting for generations, not  
so much for sleep, but for a shift  
in the whole idea  
of sleep would, for the day when sleep would be recalled  
as quaint, and sad. That  
salad bar suggested I might be  
the first living creature on Earth  

who wouldn’t need it.  

I learned that.  

And when the manager  
brought us together said  
that one of us had to go, I nodded as  
I’d seen my father  
nod his head. I cast  
my eyes down to the floor  
the way my mother did  
when she picked up the phone and someone asked her a question  
to which she had no answer. “I sure  

wish I could turn the two of you  
into one girl and keep  
you both,” said. Clerical  

work, to me, he suggested. I left  

my uniform on a hanger in the bathroom.  
Before I left, my friend  
ran into my arms, sobbing—or  
at least pretending to sob. “I  

personally thought you were  
wonderful,” she said, “at your job,” in  

a way that made me  
want to die.  
That night  

I tried to kill myself  
by swallowing an aspirin  
without water. But it slid  

right past my tongue, down my throat.  
I was relieved.  
I wanted to live. There would be  

brownish oceans  
in my future, with brownish waves  
washing up  
on shores. There was  

the purity of wolves devouring  
the purity of rabbits. And  

birds to scribble  
all over the sky. Also  
bored children and dense thickets, full  

of a thousand members  
of an audience  
standing up and clapping  
for a band.  

Concert finally over. Everyone  
deaf, dazed, just  
wanting to get out of there, go home, wishing  
they’d never come.  
I’d be one of them. But  

I’d wait in my seat until the rest had left. Then  
I’d see  
the lead singer  
(too famous to be named) come  
back on stage to find  
a guitar pick he had dropped. He’d  
scowl and wave at me, friendly  
and full of hatred. I smiled  
and shook my head, which  

seemed to startle him. He said, “It  
sucked.” He said, “We suck. But  
at least we know it, don’t we?”  

My reply: it  
was perfect. It  

changed both our lives. We’d  

go on together, forever, and never  
need to speak again. We  

knew what we did best, both of us, after that, and  
we’d do that, exactly—although  

in order for you to believe me  
I must never tell you what I said.  
"
love me til im dead,"
  Wasn’t that 12th street

 wasn’t it May

 6:29 pm I was late

 I’d just bought

 Rob’s bildungsroman

 you mean memoir

 the bookseller

 working the cash

 register told me

 you’re on the wrong

 floor follow me

  

 Told him I also needed to taste

 what I was up against

  

 signing myself

 over to X agency

 who’ll take 15%

 of the rights

 of the royalties

 if they successfully

 peddle my memoir

 (whose takeaway

 is messing up love

 via capitalism)

 & hawk it to some

 Big Five publisher

 who’ll nary give

 a shit not until

 it officially bombs

 & who’ll change

 the French title

 to a phrase more

 marketable & also cut

 the photograph

 overlooking my third

 apartment before

 Sandy hit Brooklyn

 wasn’t that 2012

  

 6:31 pm I was skittering

 across Broadway

 my shoes killing me

 & read Rob’s first sentence

 (I needed also to *hear*

 what I was up against)

 “this must be the place”

 it both pleased

 & nonplussed me

 thought unwittingly

 of David Byrne

 in Hollywood

 c. 1984 onstage

 singing “sing

 into my mouth”

 & “never for money,

 always for love”

 his white suit

 & sweat stains

 wasn’t that

 *Stop Making Sense*

  

 (Emily loves this song

 I thought that’s

 what I’m up against?)

  

 Whacked the book

 shut & muttered

 *intéressant, intéressant*

 stretching the *a’s*

 & tittering at myself

 a tiny gag my horrid

 French accent

 an abandoned toast

 & thinking of X now

 you Francophile

 haven’t seen you

 since that winter

 3.5 years ago no

 that was Scholes St.

 when you wheezed

 & said I’m uncertain

 I’m that person

 who waking loves

 you anymore

  

 yes, *you*

 you said

  

 & headed eastbound

 when I looked up

 & also marching

 across 12th street

 there was another X

 I half-loved

 that following spring

 3.5 years ago she

 gave me this

 two-fingered salute

 touching her brow

 was she leaving

 her seminar maybe

 dinner with dad

 I wouldn’t decide

 thought unwittingly

 instead of her

 rheumy & I guess

 also pellucid

 eyes those nights

 on Powers St.

 on my stoop

 when the stars

 I said stunk of

 beef tallow

  

 My slack mouth

 making a shy noise

 when I saw her

 it was like *oh*

 but a century longer

  

 “Out of all those

  kinds of people,”

 my shoes sang

 & killing me

 “we drift in and out”

  

 & you could call

 her name but no

 you *live* here now

  

 *ain’t that America*

 on the radio

 when the taxi

 swerved around me

  

 & the drug dog

 licking anxiously

 the other bigger

 drug dog’s paws

  

 that was Broadway

 words like *jornada*,

 *chaparral*, *beldam*,

 *snow* *blindness*,

 *malanders*, *ilex*,

 *rebozo*, *chivaree*,

 *death* *camas*

  

 I bed down here now

  

 new whorls

 of blonde hair

 & fur in my mouth

  

 but when I wake up

 4:01 am unsleeping

 & the apartment’s

 glum-smelling

 like blue milk

 & mustard seed

  

 inside the amphora

 there’s a third smell

 a pair of ox-eyes

 with their bruised

 & drooped heads

 isn’t it those flowers

 some mornings

 who aren’t always

 already dead

 when I wake up

 & smell what

 I’m up against

  

"
original,"
Meaning a vocalist who doesn’t sing

 convulses his body instead

 negative capability a cappella style

 while wearing a brown horse head

 rubber arms severed below the elbows

 to hug himself as his guest

  

 Meaning an egg imago

 where would the Moor be without Iago

 you wear leather and I slap on latex

  

 A sunken relief that breaks the heart

 an artifact that cracks its silhouette

 in two on x-ray shot before repeat

 technique to establish benignity

 divinity publish anomaly as original lit

"
